estacion,fecha,umbral,conteo
34,05-05-2022,AMARILLO,2
58,11-10-2020,ROJO,2
61,07-05-2022,NARANJA,2
28,09-06-2021,NARANJA,2
34,04-03-2022,NARANJA,2
58,13-12-2019,NARANJA,2
61,05-03-2022,AMARILLO,2
28,11-07-2021,NARANJA,2
61,01-12-2019,NARANJA,2
28,11-07-2022,ROJO,2
34,03-03-2022,NARANJA,2
28,14-06-2021,NARANJA,2
60,30-09-2022,AMARILLO,2
28,15-11-2021,AMARILLO,2
58,16-08-2020,NARANJA,2
33,19-05-2022,NARANJA,2
28,18-06-2022,NARANJA,2
33,12-10-2019,ROJO,2
33,11-10-2019,ROJO,2
33,10-05-2022,NARANJA,2
59,30-09-2020,ROJO,2
33,09-02-2022,NARANJA,2
28,21-03-2022,NARANJA,2
33,09-02-2022,AMARILLO,2
33,07-10-2019,NARANJA,2
58,23-06-2020,NARANJA,2
33,05-04-2022,NARANJA,2
25,08-10-2020,NARANJA,2
25,07-10-2020,AMARILLO,2
56,27-05-2020,NARANJA,2
63,27-08-2021,ROJO,2
64,02-09-2021,AMARILLO,2
21,25-09-2021,AMARILLO,2
63,31-03-2022,NARANJA,2
36,08-09-2020,NARANJA,2
36,08-02-2021,NARANJA,2
16,09-07-2022,NARANJA,2
57,07-09-2020,NARANJA,2
21,31-03-2022,ROJO,2
36,06-07-2020,NARANJA,2
21,31-10-2020,ROJO,2
57,07-10-2020,NARANJA,2
63,27-10-2020,NARANJA,2
22,10-07-2022,ROJO,2
36,05-11-2019,ROJO,2
22,14-07-2022,NARANJA,2
36,01-09-2021,NARANJA,2
57,09-11-2020,NARANJA,2
22,17-06-2022,NARANJA,2
22,17-06-2022,ROJO,2
63,27-05-2021,ROJO,2
57,11-07-2021,NARANJA,2
22,20-07-2022,NARANJA,2
22,22-05-2022,NARANJA,2
57,11-11-2019,ROJO,2
63,25-10-2019,NARANJA,2
57,13-10-2021,NARANJA,2
36,03-04-2020,ROJO,2
63,25-04-2021,NARANJA,2
22,28-05-2022,NARANJA,2
57,14-09-2020,NARANJA,2
21,24-09-2021,AMARILLO,2
57,06-05-2022,NARANJA,2
65,01-11-2021,NARANJA,2
57,03-12-2020,NARANJA,2
20,24-09-2021,AMARILLO,2
20,25-09-2021,AMARILLO,2
66,11-10-2021,NARANJA,2
36,15-03-2020,ROJO,2
66,11-06-2022,NARANJA,2
66,11-05-2022,NARANJA,2
36,14-09-2020,NARANJA,2
56,29-03-2022,NARANJA,2
66,09-02-2022,NARANJA,2
56,29-06-2020,NARANJA,2
36,13-12-2020,ROJO,2
66,05-10-2021,NARANJA,2
36,13-07-2021,ROJO,2
56,29-09-2020,ROJO,2
36,12-11-2020,ROJO,2
21,07-09-2021,NARANJA,2
65,30-10-2021,NARANJA,2
36,12-10-2019,ROJO,2
65,30-09-2021,NARANJA,2
21,14-11-2019,AMARILLO,2
57,02-11-2020,NARANJA,2
21,16-11-2019,ROJO,2
21,17-07-2022,AMARILLO,2
57,03-01-2021,NARANJA,2
65,06-05-2022,NARANJA,2
57,03-11-2020,NARANJA,2
21,21-08-2021,NARANJA,2
21,21-10-2020,AMARILLO,2
65,02-11-2021,AMARILLO,2
24,02-07-2022,NARANJA,2
36,01-09-2021,AMARILLO,2
34,27-11-2021,AMARILLO,2
